Question,Answer
What is a HSN code? Why do we require it?," HSN code stands for Harmonised System Nomenclature code. It is a code used to classify goods for taxation and claiming benefits. In India, the HSN code is crucial as it is the determinant of the amount (percentage) of GST that is charged on a particular product.       "
What do we mean by SKU?, SKU is the abbreviation for Stock Keeping Unit. It is a unique identifier for each distinct product.     It is a unique number given by a seller to the products in his store for easier inventory management and identification. It can be alphanumeric and can have from 8-12 characters.  SKUs are unique to your store and must contain information which can be easily used to describe the product.    
Does Shiprocket support inventory management?," Yes, Shiprocket allows the management of centralized inventory across the integrated channels. The stock levels are automatically updated on the channels.     Inventory Sync automatically runs every 10 minutes, but can be manually triggered anytime.     (Note : This feature is not available in LITE Plan)       "
How to use the ShipRocket on Shopify App Store to automatically bulk process my orders?," Now use the Shiprocket App on Shopify App Store to automatically bulk process your orders.  Installation process:   1. Login to your Shopify account on the app store.  2. Once logged in, search for Shiprocket in the Shopify search panel.       3.Click on Get/Install App.     4.If you are already shipping via Shiprocket, you will be redirected to your Shiprocket account and Shopify channel will be created.     5.If you don't ship via Shiprocket, an account will be created for you.     6.Post installation, to bulk select your orders on your Shopify Order screen, click on the Actions drop-down menu.     7. Now select the orders you want to bulk process and then click on the “Ship with Shiprocket"" from the dropdown menu.          8.The orders that you had selected will now be processed and a courier will be assigned in Bulk, marking them as Ready to Ship.  "
Package Master: How many pictures do I need to upload?, You need to upload a minimum of 3 or a maximum of 5 pictures of your packaging.      Pro Tip: Take pictures from different angles to give us a proper idea of its dimensions and shape.  
How much time does it take to get approval for my package request?, It takes 7 working days to get approval for your package request. 
What happens if my package request gets rejected?, Please try again by correcting your package creation as per the reason shared with you over the mail.  
Is there a way to set a package alert on Shiprocket?," Currently, there's no way to set an alert for it. However, we always send you a notification whenever your package quantity goes below 10. "
Can I get branded packages with my logo on it?," Sorry, Branded packaging is not currently available in Shiprocket.  "
What is MOQ if I buy packages from SR?, The minimum order quantity for buying packaging from Shiprocket is 100. 
Do I need to apply for approval if I buy packaging from Shiprocket?," No, you don't have to apply for any approval if you are buying packages from us.  "
Can I associate one SKU with multiple packages?," Yes, you can associate one package/flyer with multiple SKU’s "
Do I need to apply for packaging if I list my own packaging?," No, It’s not compulsory to apply for approval if you list your own packaging. "
What is the process to activate DHL as an International courier partner?," DHL is one of the most trusted and reputed carriers in the world. To help you achieve the most convenient shipping experience, Shiprocket has tied up with DHL as one of our carrier partners for international shipping. The broad process for integrating DHL with Shiprocket includes sending the required documents to us through email. We then verify them and send them to DHL for approval.      To activate DHL eCommerce for your account, please follow the steps below:     1. Create an account at https://kyc.dhlecommerce.com/signup-client.  2. Complete the online application form.  3. Upload the required KYC documents.  4. In the Account Manager field, type Abhineet Srivastava.  5. To continue, click Submit.  6. Then, download the DHL Account Application Form. Sign and stamp each page, then re-upload it.  7. DHL will be activated for your account after successful verification. Shiprocket agents will notify you if the uploaded documents are denied.     List of KYC documents: -      a) Type of company  b) Any two stamped and signed documents from the list below       PROPRIETOR     PVT LTD COMPANY     TRUST/ EMBASSY. UNIVERSITY     PARTNERSHIP/LLP FIRM     Bank Statement     Certificate of incorporation     Telephone Bill     Partnership deed     Passport Copy     Internet Bill     Government Recognize Letter     Registration Certificate Act 1932     Driving Licence     Telephone Bill     Official Document Verifying Status of Trust     Telephone bill in the name of the partners.     Ration Card   Article of association    Article of association           LLP Agreement     Voter ID     Memorandum of association            Any official valid document                                        identifying the partners and the person holding the Power of Attorney and their address     Pan card     Company Pan Card Copy         Power of Attorney granted to a partner or an employee of the firm to transact business on its behalf.           Along with these, the seller needs to upload below mentioned mandatory documents as well:     1. IEC copy   2. GSTIN copy   3. Registered address and Pickup address proof   4. Website URL or product images for pre-screening.   5. PAN card of authorized signatory.   6. LUT COPY or Declaration on mail stating payment to be made against IGST   7. Soft copy of the sign and stamp of the seller- to be uploaded at the backend for auto invoicing.   8. AD CODE copy registered at Del Port      For GSTIN copy, LUT COPY or Declaration, Soft copy of Sign and stamp of the seller, AD CODE   Kindly, create one PDF and upload it on the KYC2 option in the DHL portal.      All the documents should be duly signed and stamped on each page by an authorized signatory stamp.      TAT for Account Activation- 7-10 Working. Days after uploading the correct documents on the DHL portal.     Points to remember-      1-For international shipments, the only option is pickup, which you specified during the KYC process on the DHL portal.  2-All pages of the document and form must be signed and stamped.  3- The company name on the Shiprocket must match the name on the DHL application. "
How to create an API user? Can I have more than one API users?," Yes, you can add up to 4 API users. Please read below to know how to create an API user in Shiprocket:      Go to Settings from the left menu and navigate to API menu.  Select Configure and then click on Create an API user button.  Please enter a Valid Email ID which is different from currently used registered email.  Input an appropriate password.  The next step will be to use the POST Authentication API in the given URL to Generate your Token for each request http://apidocs.shiprocket.in/      For more information, please refer to Shiprocket API Document Helpsheet.     "
Shopify Integration: How long does it take for the order to be reflected in the SR panel?, We fetch Shopify orders in real-time. 
Shopify Integration: Will an order that has been cancelled in Shopify be updated in Shiprocket?," Yes, we update your Shopify orders in real-time. It means that even if the order is canceled after it has been fetched in the Shiprokcet system, it will still be marked as canceled. "
Shopify Integration: Why is my prepaid order listed as COD in Shiprocket?," If the status of your payment is still pending at the time of fetching, your prepaid order will be listed as COD in Shiprocket.     However, if the payment is updated in Shopify, we will also update the payment status here and mark the order as Prepaid.     Note: Make sure the Payment status is updated before assigning the AWB. "
Shopify Integration: Will Shiprocket fetch the order's weight and dimensions?," Shiprocket only retrieves an order's weight from Shopify. Dimensions can be manually updated when orders are processed. Alternatively, you can use the Bulk Upload method to update the dimensions in bulk from the Channel Products.     Please follow the steps outlined below:     a) From the left menu, navigate to Channels and select Channel Products.     b) In the upper-right corner, click the Upload icon.     c) Save the sample products file and replace the data with your own.     d) Re-upload it to change the dimensions. "
Shopify Integration: Is it possible in Shiprocket to fetch only COD confirmed orders?," Yes, if you only want to fetch COD confirmed orders in Shiprocket, please follow these steps:     Select Channels from the left menu.  In front of your Shopify channel, click the Edit button.  Navigate to Pull Order Statuses.  In the field ""Pull COD order with Tags,"" enter your COD order tag. "
What are the necessary steps to be fulfilled for hassle free COD remittance?," To get a hassle-free COD remittance, ensure the following:   Bank details are updated in your Shiprocket panel in which you want the amount to get remitted.  Your Shiprocket wallet balance is always positive [only for prepaid sellers].  There is no freight invoice pending for more than 30 days.         "
How soon can I receive my COD amount in my bank account?," You can receive your COD amount in your bank account after 8 -9 days of order delivery. Alternatively, you can opt for our Early COD option, and receive COD payments in your bank account as soon as 2 days after delivery.     "
How many times do I get freight invoices in a month?," We bill our customers twice in a month, therefore you would receive freight invoices at the mid and end of every month.    "
How to print eway bill number on the shipping label?," Eway Bill Number: Under GST Act, It is mandatory to enter Ewaybill number for shipping of goods from one place to another, either inter-state or intra-state and of value more than INR 50,000. You can easily enter your Eway bill number while creating a manual order in Shiprocket. To generate eway bill, please visit https://ewaybillgst.gov.in/Others/EBPrintnew.aspx     Note: The e-way bill number will be printed on the label and will be shared with the courier partner in the pick up API.    "
What happens if I don't pay my invoice?," If a Freight invoice is pending:     Here, we hold 1.5x of your COD remittance. We will transfer the pending remittance to your bank account as soon as you clear your invoice.      If a SaaS invoice is pending:     If your invoice is still overdue after the last date, you get 10 extra days to clear your invoice. After this, your account will be suspended. You can then downgrade to our Lite plan or renew your existing plan as required.        If you have any further query, you can call our customer support team at +91-9266623006.    "
How can I pay my shipping invoice?," To pay your shipping invoice, please follow the steps mentioned below:    Log into your Shiprocket panel    Click on the ‘Billings’ section from the left menu    Go to the ‘Invoices’ tab. Click on the ‘Pay’ option against the invoice number to process your payment   "
Can I get my COD payment directly in my Shiprocket wallet?," We are very sorry but currently, we can only transfer your COD amount to your registered bank account.  "
Explaining shipping zones: How shipment zones affect order fulfillment and rates?, Courier companies have divided all serviceable pin codes into multiple shipping zones. Each shipping zone has multiple sets of pin codes and a definite definition. Your shipping metrics like Freight (Forward & RTO) Charges and Delivery Time depends on the shipping zone in which your selected pin codes falls.    How courier companies define shipping zones in Shiprocket:   Zone A (Within City) - If Pickup and Delivery pin codes are in the same city.  Zone B (Within State/region) - If Pickup and Delivery pin codes are in the same state/region.  Zone C (Metro to Metro) - If both Pickup and Delivery pin codes are in metro cities  Zone D (Rest of India) - If any or both pickup and delivery pin codes are in India. This excludes any pin code of North East region and J&K region.   Zone E - If one or both cities are in the North East region or in J&K.    
My Bank Verification Got Failed. What Now?," After submission of details, Shiprocket team checks your entries within 24 - 48 business hours & approves or rejects your application based on what they find.     Here’s why your bank verification may have failed:      Your account number and ‘re-enter account number’ fields must match.    Make sure you select the correct account type as per your business.    Enter the correct IFSC code. In case you are unable to remember your IFSC details, please use the IFSC lookup option in the panel.    Your entered account number and IFSC must be the same as printed on the cancelled cheque.    Upload a clear photograph of your cancelled cheque.    In case you’re uploading the image of your passbook, please upload a picture which clearly shows your bank stamp and your photograph.      If your bank verification has failed because of the above reasons, we request you to submit your documents again. Our team will cross-check your details again and get back to you within 48 business hours.       "
How do I add multiple pickup addresses in the panel?," Yes, you can add multiple pickup addresses in the panel. Please follow the steps mentioned below to do so-      1. You can add multiple pickup addresses in the panel using the following steps-  1) Go to Settings→ Company from the left menu.  2) A new window of company information will open in front of you. Click on the Pickup address option on the screen.  3) Towards the right you will find the option to ‘Add new pickup address’. Click on it and fill in your details.  4) In case you want to make it your default address, switch on the primary address toggle button.  2. To upload multiple pick up addresses in bulk  1) Go to Settings→ Company from the left menu.  2) A new window of company information will open in front of you. Click on the Pickup address option on the screen.  3) Click on Upload file Icon and download the sample File from the pop-up.  4) Fill in the details as per the given format without making any changes/addition in the header.  5) Upload the file by clicking on the same icon.      NOTE: The location Id for each address is system generated and cannot be edited. Orders when assigned in bulk or individually, will be picked up from the primary address.     Steps to edit Pickup up address:     To edit a pickup address, please follow the steps mentioned below-  1) Go to Settings >> Pickup Address >> Manage Pickup Addresses.  2) A new window of company information will open in front of you. Click on the Pickup address option on the screen.  3) You will find all your pickup addresses on the screen. Click on the edit icon beside a pickup address to change the pickup name and contact details. "
Can I delete a pickup address from the panel?," No. However, you can deactivate a pickup address if you are no longer using it for shipping orders.  "
Can I Ship Directly Through My Website/E-commerce Channels?," To ship your website/ecommerce orders, you need to integrate your channels with your Shiprocket panel.     Click on the link below to know how to sync your website/ecommerce orders with Shiprocket:     How to integrate your sales channels?     For a custom website, use the following link:     Shiprocket API Document Helpsheet "
Can I use more than one courier partner?," Yes, we provide integration with all courier partners to our sellers irrespective of their plan. You can choose your courier partner while processing the shipment, or set a courier priority rule for bulk processing. "
How many COD & pickup pincodes do you cover?, We cover more than 26000 pickup and COD pincodes 
Whom should I contact - Shiprocket or courier partner?," If you have any question or query related to a shipment you have shipped with Shiprocket, contact us at +91-9266623006 or write to us at support@shiprocket.in.  "
What do you mean by the expected delivery date?, Expected delivery date is the tentative date by which your order will reach your customer's doorstep. It is visible on the customized tracking page sent to the customer.  
Do you offer shipment security? Is there any maximum coverage amount?," Yes, Shiprocket offers shipment security to its customers. All domestic shipments are secured up to an amount of Rs 5000. "
What documents are required for International shipping?," You need an IE code for shipping your orders internationally.      Import Export Code (also known as IEC) is a 10 digit identification number that is issued by the DGFT (Director General of Foreign Trade), Department of Commerce, Government of India. It is also known as Importer Exporter Code. It is mandatory for companies and businesses to obtain this code to start a business that deals with import and export in the Indian Territory. It is not possible to deal with export or import business without this code.     You can get it from the nearest zonal or regional office.     To know more about IE code, read our detailed guide here "
Can I do bulk shipping or label assignment for international orders ?,"  As of now, we do not provide bulk shipping for international shipments. You can ship your orders one by one sequentially. However, we will let you know as soon as the feature is available on our platform.   "
Do We Process International COD?,   As of now Cash on Delivery payment option is not available for international orders.  
How can I check if an international pincode is serviceable?," To check the serviceability of an international PIN code-      Click on the “Settings” option from the left panel and go to the ‘International’ tab. You will then be taken to the International process page where you can see the process of the international shipment.  If you've uploaded your International shipping documents, you will be able to see the process of International shipment here. Uploading documents is a one-time process.  Once the documents are uploaded, you will receive the access from this page to the International Details page.  The target pin code should match with the serviceable list of pin codes of the courier companies we have for international shipment.  You should follow this check each time you come on to the process page until international shipping is activated.  If the pin code is not serviceable, then a popup will appear saying that your pin code is not serviceable by the courier company. The upload button will be disabled, as shown in the image below.     "
Can I do bulk shipping or label assignment for international orders?,"As of now, bulk shipping for international shipments is not available in the panel. Users have to complete the task manually. However, we are working on activating this feature as soon as possible.   "
What is minimum value of prepaid order required for domestic and international order?, There is no minimum order value required for shipping internationally with us. 
How many days it take to complete and verify the whole international documentation process?," Once you submit your documents in the panel, it takes 2 days for our courier partner Aramex to verify them. For the rest of the partners, the verification process takes 7-10 business days. "
What are the criteria of Quality Examination for return shipments?," As of now, we do not provide any specific criteria but the courier will check the product as per the SOP for both serialized and non-serialized products. However, if you choose Delivery QC as your courier partner, they will examine the product on certain criteria such as brand, color, IMEI number, etc.  "
What is the process time for NDR?," We request you to take action on your NDR shipments at the earliest or within 24 hours. It will help in forwarding your information to the courier in real-time, which will result in faster response time.     Case 1: No one takes an action     Here, we will try to take action on the seller’s behalf and request the courier partner to reattempt the delivery.     Case 2: Second attempt fails     Here, the order will again come in the NDR panel where a seller can take an action over it. If we receive none action, we will again try to request the courier partner for a re-attempt. However, the reattempt depends on the courier partner.     Case 3: Buyer does not want the order     Let’s suppose a buyer said no to his/her order at the time of delivery. Here, the order will again come in the NDR panel where a seller can take an action over it.  "
How many attempts will be made by the courier company to deliver my order?," We provide a maximum of three attempts to deliver your order. However, it also depends on the selected courier partner and NDR reason. In general, most courier partners make three attempts before the order is marked RTO. However, few couriers mark RTO after the 1st attempt.  "
How long does it take for an action to be implemented on my undelivered shipment?," Generally, courier takes action within 24 to 48 hours on your undelivered shipment.  "
Can I cancel my Shiprocket Essential order?, You can cancel your order from the Shiprocket panel if the order is in any of the below statuses:     - AWB Assignment  - Pickup Scheduled  - Pickup Error  - Pickup Exception  - Label Generated  - Pick up Generated  - Pickup Rescheduled 
Is the return functionality available for Shiprocket Essential orders?," No, ""return"" functionality is not currently available for Shiprocket Essential orders.  "
Shiprocket Essential: How much does it cost?," Shiprocket Essential shipping starts from Rs. 31/500gms. However, it totally depends on your selected pin codes, shipment weight, and your Shiprocket plan. We suggest you go through our rate calculator to know more. To know how to use Shiprocket Rate Calculator, click here. "
Can I ship my amazon orders through Shiprocket essential?," Any seller who meets the eligibility criteria of selling ""essential items"" can ship his/her products through Shiprocket essential. To check your eligibility, please click on the link below and fill the form:     https://www.surveymonkey.com/r/SPZQK5H     We will check all the information at our end and may contact you to know more if needed. If everything fits into place, we'll enable our essential courier partners for your account.  "
What is Shiprocket Essential? Am I eligible for it?," Shiprocket Essential is an exclusive shipping service created especially to ship ""essential items"" during the COVID-19 lockdown in India.      To know what comes under ""essential items"", check out this article     To check if you're eligible to use Shiprocket essential, click on the link below :    "
What is Shiprocket Fulfillment?," Shiprocket Fulfillment is a service that provides storage, packaging, and shipping assistance to sellers. There are various benefits of having a warehouse integrated with your shipping platform:        A single place to manage everything - It helps you manage all your logistics processes, including inventory management, packaging, order fulfilment, returns, etc.          Better organization of inventory - We regularly monitor and track your inventory to make sure it's accurate and is placed at the right picking location. Whenever a movement happens, our system automatically updates the current inventory count, making the whole process seamless and error-free.          A stress-free shipping experience - It's hard to focus on anything when there are too many things on your plate. Reduce your stress by delegating the most stressful steps of eCommerce to us.   "
How does SRF work?," An overview of how Shiprocket Fulfillment works:       Start by registering yourself for Shiprocket Fulfillment       a) First, create a Shiprocket account. In case you already have one, log in to your account.      b) Next, you need to fill the below documents to complete your registration for SRF:     1. Warehouse state's GST registration  2. Shiprocket-Seller Agreement  3. Additional place of business registration  4. Meteorology certificate for selected products     c) Post-approval, we'll mark our warehouse as your primary pickup address.       Drop your products at our warehouse       a) Now, create a consignment and drop your products at our warehouse.     b) Once received, we'll conduct a quality check based on your set preferences. If passed, we'll store the products in our warehouse.        Shipping and Order Management by SRF       Now, whenever you get an order, SRF will pack and deliver it to your buyers.  "
What happens when the product goes out of stock?, Shiprocket sends an automatic alert to your account as soon as your inventory levels fall below the limit that you have set.  
Shiprocket Fulfillment: Will you also manage my return orders?," Yes, Shiprocket is fully equipped to handle all your returns and exchange orders.  "
I’m on the Shiprocket Lite plan. Can I still register for SRF?," Yes, Shiprocket Fulfillment is available for all Shiprocket sellers. "
"What are Active, On-Hold, Back and Completed Orders?"," Your fulfilment account has 4 types of orders:     Active Orders: Orders which are currently getting processed in the warehouse.      On-Hold Orders: Orders that have been put on hold due to inventory shortage or some other technical issue.     On-hold reasons:       Insufficient wallet balance    Pincode not serviceable    Customer name or phone number with a special character    Courier refused to shipment because the weight was exceeded    The name and address of the customer are not in the supported language (English).    Technical Issues    In the region selection settings, the region is disabled    Others       Note: If order verification is enabled, your orders will remain in Orders>On-Hold Orders until manually verified.        Back Orders: When we receive orders for items that have an ASN but are currently out of stock. We treat them as backorders and try to fulfil them as soon as the items arrive in our warehouse.     Completed Orders: Orders that have been shipped and delivered successfully.  "
What exactly is 30-days free storage?," Under our 30 days free storage policy, you don't need to pay any cost on your products until 30days from your storage date in the warehouse.     "
How do you calculate the volume of my products?, We use a 3D volumetric laser scanner to calculate the volume of your shipments.  
What criteria are you using to evaluate the quality of inventory?, We do a complete quality check of your inventory by matching every product with the uploaded image and MRP sticker.     
What happens to my QC failed items?," We store your QC failed items in a separate bin. As a seller, you can either ask us to ship all QC failed items back to you or opt for demolition.     "
Who pays for RTO?, RTO charges have to be paid by the seller.  
Can I request RTO to my home/office instead of the warehouse?, Yes 
What happens if a customer cancels the order?, We do not process shipments in case of order cancellation. 
Can I cancel an ASN?," No. However, you can create a new ASN if there's an issue with the previously created ASN.  "
How much inventory do you need for SRF?, There’s no minimum quantity required for SRF. 
What happens in the case of multi-item order?," Order will be fulfilled from the SRF warehouse if all items are available. In case of unavailability, we'll move the order to your home location.  "
What are the benefits of enabling the cost price feature for SKUs obtained from different vendors?," Enabling the cost price feature allows you to add multiple cost prices for the same SKU, even if they are obtained from different vendors. This feature makes it easier to track inventory, and the updated cost prices will be visible in the ASN report downloaded from the panel.      Note: Each ASN is at a vendor level and can only contain a single cost price for any given SKU. "
What kind of packaging is available with Shiprocket Fulfillment?, 5 types of packaging and its combination available at Shiprocket fulfilment centre:     1. Box  2. Polybag  3. Box + Bubble Wrap  4. Polybag + Bubble Wrap 5. Box + Filler       
How to select the best packaging for my products?," Follow the steps below to make sure you get the right packaging for your products:       Log in to your Shiprocket account and go to Channels >> All Products.    Click on the 'Upload' icon and download the sample ‘Products’ file.     Fill your packaging preference in the below columns:   Packaging Material and Additional Material.         Note: Add your main package types like Box or Polybag in the ‘Packaging Material’ column and secondary package types like Bubble Wrap or Filler in the ‘Additional Material’ column. In case you don’t want to use our packaging, you can simply write ‘Self’ in Packaging Material column.        Save the file and upload it on the same page.        Your packaging preference is now saved with us, and you can check the same on ‘All Orders’ screen. "
Can I use my packaging?," Yes, you can. If you don’t want to use our packaging, simply mention ‘Self’ in the Packaging Material column, or you can leave the cell empty.  "
I want to edit or modify my packaging. How do I do it?," To edit or modify your packaging, follow the steps below:       Log in to your Shiprocket account and go to Channels >> All Products.    Download the ‘Products’ file from the top-right corner.     We have added two new columns in this file: Packaging Material and Additional Material.       Note: Add your main package types like Box or Polybag in the ‘Packaging Material’ column and secondary package types like Bubble Wrap or Filler in the ‘Additional Material’ column. In case you don’t want to use our packaging, you can simply write ‘Self’ in Packaging Material column.      4. Save the file and upload it on the same page.      Your packaging preference is now saved with us, and you can check the same on ‘All Orders’ screen.       "
What happens in case of a multi-item order?," We select the final packaging by checking weight, dimensions, and quality (fragile/non-fragile) of your products. It helps in picking the most suitable packaging for your order in terms of sturdiness and affordability.        "
When will I be billed for packaging?, Packaging cost will be included in the SRF invoice that we generate at the end of each month for your account.     
Will you charge me for packaging if my order remains undelivered or move to the RTO status?," Yes, packaging charge will be applicable in this case.  "
Do I need to provide my packaging preference at the time of product upload?," Yes, you need to provide your packaging preference at the time of product upload.      Note: You can either select your own packaging or Shiprocket packaging for your products.        "
I want to check what packaging you used for my products?," To check the selected packaging, follow the steps below:      Go to the ""SRF"" tab from your left menu and click on ""Orders"".  Under the ""Packaging"" column, you'll find the packaging details for each order.   "
Is GST applicable on SRF packaging?," Yes, you need to pay 18% GST for using SRF packaging services.     "
Do I need to mention packaging type for all products?,"  No, you can simply mention the packaging type for products you are shipping with Shiprocket Fulfillment. For other products, you can leave the cell empty.  "
What Is an Order ID?, An Order ID is a unique number which helps you identify and search orders within your Shiprocket account. Each order receives its own Order ID that will not be duplicated.          
Can I Create an Order Without Adding Product to the Catalog?," You can definitely create an order without adding products to the catalog. You can do this by creating a 'Custom Order'.     To know how to create a Custom Order/Forward Order , please click here.     Or, watch this quick video guide:          "
How to add orders in bulk?, Bulk upload allows sellers to import multiple orders to Shiprocket in a single go. It saves a lot of time and very convenient to use. Watch this video to know how to add and process your bulk shipments easily:        You can visit Tools -> Bulk Actions to check the status of your bulk order upload. 
How do I edit/modify an order in Shiprocket?," Editing an Order     Once an order is created or fetched from any channel, you can click on the Order ID and get into the Orders Details page.  You can edit the following parameters in an order :   Customer Shipping Address  Shipment Details (Dimension and Weight)  Pick up Address  Payment Type ( Prepaid/COD)      Please Note: Once a courier is assigned to an order, you won't be able to edit the shipment details.               "
"Can I print manifest of orders in bulk? If yes, how?","    Yes, you can print manifest of orders in bulk. Follow the steps given below to download bulk manifests for your forward orders:    Once you’ve generated the shipping labels for your bulk order, it will progress to the ‘Ready to Ship’ status. Locate the ‘Ready to Ship’ tab in the orders section, this is where you can find your ‘Ready to Ship’ bulk orders. Now you are required to generate a pick up request for your shipments.           2. For generating pickup request, simply select the checkbox against each of those orders. In case you want to select all the orders present in the “ Ready to ship” tab click on “Select all”.     3. Click on the the ‘Bulk Pickup Request’ present on the left top of the panel. You will receive the manifest for all these orders in your registered email ID.     4. All these orders will now move to the 'Pickups' status.            5. Next, select ‘print manifest’ to print a manifest for your bulk order. You can also print the label and invoice for all the orders present in the manifest ID.          6. You will be redirected to a PDF file containing the manifest. You can download/print this file.      "
Can I change the payment mode of my order if it’s in the out for delivery status?, You cannot change the payment mode if your order is in any of the following statuses:     1. Out for Delivery  2. RTO or Return to Origin  3. Delivered  4. Lost/Damaged/Destroyed     Note: You can change the payment mode of your shipment if it's in the NDR status.  
What happens to my wallet balance if I cancel my order?," You need to make a request on your Shiprocket platform to cancel your order/shipment. The same will be shared with the concerned courier partner.     Once approved, your refund will be credited to your Shiprocket wallet in:     - 2-3 days if it's an order cancellation, and  -within 24 hours if it's a shipment cancellation.      Note: The refund amount will be reversed back to Shiprocket if the status gets changed after cancellation.    "
